# t 	 IC 	 IH 	 IHC 
0.0	4.040243134445909e-12	2.5105273141943045e-05	-1.007131607339004e-08
0.001	1.5414593509504616e-11	0.04959540275541471	-3.834770243495761e-08
0.002	4.5411241731192334e-07	0.049116775901997076	-0.00014910118791102372
0.003	1.8163726608966293e-06	0.048689477860816795	-0.00029636754485025055
0.004	4.086796587145217e-06	0.0483135056377932	-0.0004418379571699312
0.005	7.2653847723070005e-06	0.047988855368009314	-0.0005855131183219758
0.006	1.1352137933062413e-05	0.04771552230871799	-0.0007273938769633144
0.007	1.6347056933779517e-05	0.04749350083232918	-0.000867481237352007
0.008	2.2250142795056577e-05	0.04732278441938113	-0.0010057763597363975
0.009000000000000001	2.906139670356042e-05	0.047203365651494744	-0.0011422805607372041
0.01	3.678082002316916e-05	0.047135236204311856	-0.0012769953137224343
0.011	4.540841430742891e-05	0.0471183868404171	-0.0014099222491750069
0.012	5.4944181313332825e-05	0.04715280740224495	-0.001541063155052927
0.013000000000000001	6.53881230164322e-05	0.047238486804971	-0.0016704199771419655
0.014	7.674024162728714e-05	0.047375413029389316	-0.0017979948194006413
0.015	8.900053960926731e-05	0.04756357311477504	-0.001923789944297446
0.016	0.00010216901969770904	0.04780295315173293	-0.0020478077731401517
0.017	0.00011624568492043955	0.04809353827503318	-0.0021700508863971273
0.018000000000000002	0.0001312305386196747	0.048435312656433575	-0.002290522024010425
0.019	0.0001471235844753007	0.04882825949748943	-0.00240922408570071
0.02	0.0001639248265295434	0.04927236102235107	-0.002526160131263686
0.021	0.0001816342692130425	0.04976759847055031	-0.0026413333808580483
0.022	0.000200251917372324	0.050313952089775356	-0.0027547472152847806
0.023	0.0002197777762986959	0.050911401128634244	-0.0028664051762576754
0.024	0.00024021185175855862	0.051559923829409875	-0.0029763109666649224
0.025	0.0002615541500251498	0.05225949742080296	-0.0030844684508216924
0.026000000000000002	0.0002838046779117238	0.05301009811066785	-0.0031908816547135425
0.027	0.00030696344280617584	0.05381170107873832	-0.0032955547662305404
0.028	0.0003310304527071172	0.054664280469344906	-0.003398492135391929
0.029	0.0003560057162614088	0.05556780938412611	-0.0034996982745612816
0.03	0.0003818892428031597	0.05652225987472992	-0.003599177858651934
0.031	0.0004086810423941977	0.05752760293551109	-0.0036969357253226038
0.032	0.0004363811258660163	0.05858380849622054	-0.0037929768751630804
0.033	0.0004652188535463352	0.09288656151581029	-0.003975550754837626
0.034	0.0004958359987823968	0.09345823064270233	-0.004191952290136065
0.035	0.0005282696116989199	0.09408181752281605	-0.0044048306968000155
0.036000000000000004	0.0005625197058995587	0.09475728956490855	-0.004614191331219211
0.037	0.0005985862959370299	0.0954846131344706	-0.0048200397048726775
0.038	0.0006364693973613792	0.09626375354677587	-0.005022381484445425
0.039	0.0006705277067255362	0.2278024753912896	-0.005967084780877906
0.04	0.0007054909470917277	0.2282614542094909	-0.006044966673303204
0.041	0.0007413625835017735	0.22877102133642205	-0.0061211765174222586
0.042	0.0007781599760229191	0.4594496056352576	-0.007061778176918795
0.043000000000000003	0.0008214944975544253	0.45927336251290357	-0.007553786392287884
0.044	0.0008666456476013599	0.4591487056810684	-0.008042325278225028
0.045	0.0009136134501677654	0.4590755929088421	-0.008527401590238598
0.046	0.0009623979306932653	0.459053980859481	-0.009009022239593219
0.047	0.0010129991161144207	0.45908382508346574	-0.009487194293328623
0.048	0.0010654170349275768	0.4591650800115511	-0.009961924974267124
0.049	0.0011196517172531737	0.4592976989478376	-0.010433221661009403
0.05	0.0011662022072855545	0.8350236820927127	-0.012780106427010208
0.051000000000000004	0.0012164343702298574	0.8578085974683644	-0.013242175730040003
0.052000000000000005	0.0012700617842972108	0.856146615446073	-0.013618872295136482
0.053	0.0013273222499192452	0.8545382748773535	-0.013988493116406776
0.054	0.0013882157688081091	0.8529835403946391	-0.014351043536598551
0.055	0.0014527423443151174	0.8514823756664353	-0.014706529033091852
0.056	0.0015209019814936896	0.8500347433913956	-0.015054955217867072
0.057	0.0015948253720505198	0.8694696836533086	-0.015622064165113626
0.058	0.00167267525654612	0.8675591859053072	-0.016059780486834263
0.059000000000000004	0.001755066336004347	0.8657033149859149	-0.01648862322043817
0.06	0.0018419986200173715	0.8639020329633197	-0.016908598010859366
0.061	0.0019334721200743366	0.8621553009735189	-0.017319710628711456
0.062	0.0020294868496275606	0.8604630792148235	-0.017721966970199347
0.063	0.0021300428241599724	0.858825326942361	-0.018115373057020278
0.064	0.002235140061253797	0.8572420024626022	-0.018499935036254272
0.065	0.0023447785806604547	0.8557130631278831	-0.018875659180243757
0.066	0.0024628302833939026	0.8704246446580842	-0.019524282749147505
0.067	0.002584661428153892	0.8684415109312887	-0.019977735843115754
0.068	0.0027119420037307164	0.8665138730080808	-0.020420533896746057
0.069	0.002844672034920961	0.8646416882961299	-0.020852683100110146
0.07	0.00298285154887419	0.862824913292361	-0.021274189759287552
0.07100000000000001	0.0031264805751648455	0.8610635035779461	-0.021685060296194617
0.07200000000000001	0.03211660704574423	0.8597010051930079	0.006591017929993028
0.073	0.032048750165493196	0.8583903775674994	0.006164362945368857
0.074	0.03198583331207291	0.8571313425481578	0.00574650591750906
0.075	0.031927855902013184	0.8559238507468092	0.0053374388814792055
0.076	0.03187481736249703	0.854767851842849	0.00493715377244084
0.077	0.03182671713142826	0.8536632945782768	0.004545642425800727
0.078	0.031783554657500955	0.8526101267527612	0.0041628965773712594
0.079	0.031745329400268904	0.8516082952187172	0.003788907863543131
0.08	0.03171204083021691	0.8506577458763968	0.003423667821469684
0.081	0.03168368842883221	0.84975842366901	0.0030671678892634406
0.082	0.03166027168867755	0.848910272577858	0.002719399406204831
0.083	0.03164179011346456	0.8481132356174941	0.0023803536129629816
0.084	0.031628243218128654	0.847367254830898	0.0020500216518290625
0.085	0.03161963052890442	0.8466722712846866	0.0017283945669619737
0.08600000000000001	0.03161595158340223	0.8460282250643284	0.0014154633046467276
0.08700000000000001	0.0316172059306855	0.8454350552694018	0.001111218713565241
0.088	0.03162339313134926	0.8448927000088692	0.0008156515450801996
0.089	0.03163451275759909	0.8444010963963636	0.0005287524535314569
0.09	0.03165056439333169	0.8439601805455345	0.0002505119965457551
0.091	0.03167154763421574	0.8435698875653802	-1.9079364640706794e-05
0.092	0.031697462087773846	0.8432301515556417	-0.00028003126484672314
0.093	0.03172830737346578	0.8429409056022049	-0.0005323534345967362
0.094	0.0685456628800909	0.8429930890119783	0.02354868218710155
0.095	0.0683720236519108	0.8430921876969193	0.023295995970220994
0.096	0.06820280453356929	0.8432379358775024	0.023050091462845833
0.097	0.06803800450611325	0.8434302614737821	0.022810957422017598
0.098	0.06787762257095135	0.8436690913764228	0.022578582526423484
0.099	0.06772165774993252	0.8439543514422732	0.022352955376736514
0.1	0.06757010908542467	0.8442859664899617	0.022134064495969434
