# t 	 SC 	 SH 	 IHC 
0.0	0.0	0.005	0.0
0.001	0.0	0.005	-1.4976989622563211e-05
0.002	0.0	0.02	-2.9772348244145366e-05
0.003	0.0	0.025	-8.886387766106606e-05
0.004	0.0	0.035	-0.00016197928916094075
0.005	0.0	0.04	-0.00026353630213920984
0.006	0.0	0.045	-0.0003784212485070331
0.007	0.0	0.045	-0.0005063769694182011
0.008	0.0	0.045	-0.0006326980113205395
0.009000000000000001	0.0	0.05499999999999999	-0.0007573843742140485
0.01	0.0	0.05999999999999999	-0.0009090305361297442
0.011	0.0	0.05999999999999999	-0.0010729004682049283
0.012	0.0	0.05999999999999999	-0.0012345908282683394
0.013000000000000001	0.005	0.06499999999999999	0.0032570684783375286
0.014	0.005	0.075	0.0030890718898874004
0.015	0.005	0.075	0.0028954156738703104
0.016	0.005	0.075	0.002704302291866955
0.017	0.005	0.075	0.0025157317438773345
0.018000000000000002	0.005	0.075	0.00232970402990145
0.019	0.005	0.075	0.0021462191499392992
0.02	0.005	0.075	0.0019652771039908833
0.021	0.005	0.075	0.0017868778920562022
0.022	0.005	0.08	0.0016110215141352559
0.023	0.005	0.09000000000000001	0.0014243925932005057
0.024	0.005	0.09000000000000001	0.0012140084389158476
0.025	0.005	0.09500000000000001	0.0010067120116478683
0.026000000000000002	0.005	0.10000000000000002	0.0007894145179047104
0.027	0.005	0.11500000000000003	0.0005623731165325863
0.028	0.005	0.12000000000000004	0.0002999694907749089
0.029	0.005	0.12000000000000004	2.8699537082644517e-05
0.03	0.005	0.12500000000000003	-0.0002383929035870571
0.031	0.005	0.13500000000000004	-0.0005140189854999056
0.032	0.005	0.13500000000000004	-0.0008105571762301786
0.033	0.005	0.14000000000000004	-0.001102372960934944
0.034	0.005	0.14500000000000005	-0.0018143357714207843
0.035	0.005	0.14500000000000005	-0.0020975628527692193
0.036000000000000004	0.01	0.15000000000000005	0.0016292990262593832
0.037	0.01	0.15500000000000005	0.0013709382662820406
0.038	0.01	0.16000000000000006	0.0011047541909791235
0.039	0.01	0.16500000000000006	0.0003271980092213154
0.04	0.01	0.17000000000000007	6.905592340962648e-05
0.041	0.01	0.17000000000000007	-0.00019650126319096972
0.042	0.01	0.18000000000000008	-0.00045733604376605315
0.043000000000000003	0.01	0.18000000000000008	-0.000737058058561578
0.044	0.01	0.18000000000000008	-0.0010116944053296325
0.045	0.01	0.18500000000000008	-0.0012812450840702194
0.046	0.01	0.1950000000000001	-0.0018376100237721764
0.047	0.01	0.2200000000000001	-0.002086204267082004
0.048	0.01	0.23000000000000012	-0.0023870303778494974
