# t 	 IC 	 IH 	 IHC 
0.0	4.040243134445918e-12	2.5105273141943133e-05	-1.0071316073390056e-08
0.001	1.6063629025694245e-11	0.009999417068751177	-3.9962342537481985e-08
0.002	9.085178249191195e-08	0.014903193267084733	-2.9912581926183386e-05
0.003	4.0885633783237014e-07	0.01974658153750802	-7.43071516444389e-05
0.004	1.0450895090274006e-06	0.024529703922703948	-0.0001329857207899505
0.005	2.090726721128758e-06	0.024505080975023234	-0.0002055157177021693
0.006	3.590451668757643e-06	0.024531213785469366	-0.0002771600436217194
0.007	5.544368291639236e-06	0.038547372313195806	-0.0003491334969574502
0.008	8.096200497229765e-06	0.043090470970368965	-0.00046287728648338226
0.009000000000000001	1.12845427242173e-05	0.057674417948774134	-0.0005902510862237072
0.01	1.5199361183936676e-05	0.05762315672872332	-0.0007006109644241126
0.011	1.9840961912444808e-05	0.06206659030794782	-0.0008105860080003423
0.012	2.526095196977008e-05	0.062057541377666184	-0.0009322334488965723
0.013000000000000001	3.149879073646567e-05	0.06644167823273686	-0.0010537377663355676
0.014	3.861039696636791e-05	0.0793486945976313	-0.0011912429655908524
0.015	4.679760322999807e-05	0.07925420703578369	-0.0013635886862443476
0.016	0.00472338958339124	0.0876449433801552	0.003042780188952274
0.017	0.004713628010225409	0.0958657766921522	0.0028459929749435372
0.018000000000000002	0.0047053005597760085	0.09982946516902695	0.002626570765261527
0.019	0.0046985304749645	0.10373424773437824	0.0023961119303033073
0.02	0.004693416658586576	0.11555109266927158	0.0021480091391902433
0.021	0.004689757965070953	0.13715979436883374	0.001815912292469644
0.022	0.004688094101988361	0.14066928927527614	0.0015271376131638188
0.023	0.0046885473723733565	0.14795274471114572	0.0012241815834101338
0.024	0.004691283390844914	0.15506777765305782	0.0008982063293947314
0.025	0.00469647491337322	0.1545550173171379	0.0005602245567002048
0.026000000000000002	0.004704157765452551	0.15409497936078365	0.00022708233217523185
0.027	0.004714341971412828	0.15731503976047956	-0.00010730591739799853
0.028	0.004727095578953687	0.15690139868764924	-0.00044364739935131843
0.029	0.009579691783844213	0.18066791394364887	0.0032827065368080358
0.03	0.009576230743645057	0.18366578351424848	0.0029267216703946467
0.031	0.009575565263037282	0.18318385637225143	0.0025707021835824793
0.032	0.009577723167874466	0.18612553601419407	0.002211704056918992
0.033	0.009580833698613825	0.2022396452575592	0.0015379090856468423
0.034	0.00958685886293871	0.2050244757028008	0.0011757383389360552
0.035	0.009595894959545338	0.20775206949631667	0.000806300013159913
0.036000000000000004	0.009608004432356087	0.20725717604427513	0.00044017788681989214
0.037	0.05350657579998566	0.23797792777519364	0.028191341168085905
0.038	0.053434381436578395	0.24048442089597846	0.02771935627115255
0.039	0.053365443284651384	0.24594501662068838	0.02722882516148479
0.04	0.053299852366736615	0.2453199859785761	0.02674442745738385
0.041	0.053237608302197	0.24474807264977275	0.026266442566815564
0.042	0.053178772346663676	0.24708579847886847	0.02578128674638737
0.043000000000000003	0.05312355780718423	0.2723304485241603	0.025215015100328073
0.044	0.05307098318238406	0.28996202182299835	0.02445291331777793
0.045	0.0530221919347584	0.291951416566075	0.023909085431905827
0.046	0.052977196012698305	0.29123442242837966	0.023376291677822836
0.047	0.05293600033020916	0.29057091640118593	0.022850787982089088
0.048	0.05289860477748235	0.2899608615433462	0.022332568326559915
0.049	0.05286500924764268	0.2894042199534825	0.021821626560877216
0.05	0.05283521363681151	0.2889009527639601	0.021317956402453587
0.051000000000000004	0.05280921784415383	0.28845102013489526	0.02082155143646183
0.052000000000000005	0.0527876080935891	0.2974180761972318	0.02025446913656775
0.053	0.052770205260171676	0.29913462302614946	0.019709376830250924
0.054	0.05275386809601487	0.31059161069080626	0.018673243137596714
0.055	0.05274169154826317	0.3100255932455761	0.018163444686432006
0.056	0.05758855542981523	0.3095561383946584	0.021250207059754535
0.057	0.057564673994404125	0.3112228229802932	0.020736702877364926
0.058	0.05754493334304371	0.3108027761771749	0.020243202076179016
0.059000000000000004	0.057529639991608005	0.3124156632899108	0.0197338259774195
0.06	0.05751856011480351	0.3120452053045306	0.019246044344021152
0.061	0.05751205370672903	0.31360451304651527	0.018741307968100838
0.062	0.05751013058190317	0.3151087644452411	0.018234067860218778
0.063	0.05751289000360664	0.3165581161551482	0.017724589492220916
0.064	0.0575164577678325	0.32938915186092405	0.01656700229850437
0.065	0.057524833419468215	0.3507480006705549	0.015990306670206143
0.066	0.05753809938897535	0.3519680140692538	0.015453718289145723
0.067	0.057557198356396916	0.37316718844526864	0.014694112464431522
0.068	0.057581201776411184	0.37274178473311104	0.01415422485991886
0.069	0.05761096982950205	0.3752979232326507	0.013563460730801908
0.07	0.05764531846285669	0.37486748269552056	0.013023318893480875
0.07100000000000001	0.06095857645270267	0.3745261677024428	0.01545116787293606
0.07200000000000001	0.06098111684776394	0.3742381457275486	0.014927566708887027
0.073	0.06100862391684423	0.3740033360728991	0.014413261800384011
0.074	0.06104109749269692	0.37382168072322086	0.01390824438089292
0.075	0.06107251438536818	0.38543160875945687	0.012280623067295965
0.076	0.061105469116855826	0.39823666222127513	0.010997908787287762
0.077	0.06114149969481161	0.40899133331158	0.010322381331179594
